id,first_name,last_name,gender,Job Title,Seniority,Wage per year in euro,days sick,age,training hours,start date,upper management
931,Mortimer,Cattonnet,Male,Recruiter,IV,484444,8,59,198,06/20/2014,false
932,Lisette,Nerger,Female,Automation Specialist II,III,265552,4,27,195,03/07/2017,true
933,Jimmy,Craise,Male,Financial Analyst,II,118616,6,39,20,05/26/2000,true
934,Trixie,Goosey,Female,Social Worker,IV,369603,3,27,71,09/03/2000,true
935,Baxie,Murrthum,Male,Payment Adjustment Coordinator,Jr,115363,3,27,194,10/12/2007,true
936,Marven,Penhall,Male,VP Sales,III,305555,11,63,37,03/08/2012,false
937,Hyacinthe,Dosedale,Female,Actuary,Sr,306834,6,62,59,03/02/2008,true
938,Florida,Realy,Female,Web Developer III,IV,394346,10,24,156,10/09/2005,false
939,Ebba,Chalk,Female,Executive Secretary,Sr,129979,7,59,60,11/30/2011,true
940,Eveleen,Barenski,Genderqueer,Administrative Officer,III,203836,11,20,83,08/11/2013,true
941,Eudora,Boddington,Female,Media Manager II,II,135793,5,28,197,04/12/2001,false
942,Leroi,Jodrelle,Male,Automation Specialist IV,III,480956,0,48,95,04/20/2011,true
943,Jo-anne,Adnam,Female,Financial Analyst,IV,497950,3,57,39,10/13/2011,true
944,Ileane,McKinley,Female,Geological Engineer,Sr,199178,6,33,40,12/20/2008,true
945,Diahann,Farryann,Female,Legal Assistant,II,268717,3,23,197,11/17/2012,false
946,Phebe,Bellino,Female,Geologist II,II,480469,7,23,77,02/19/2018,false
947,Editha,Ajean,Female,Programmer IV,III,411008,0,70,40,12/13/2013,false
948,Lil,Crozier,Female,Quality Control Specialist,Jr,181545,11,54,176,12/22/2005,true
949,Skipp,Minogue,Male,Information Systems Manager,Sr,75854,2,34,87,11/04/2001,true
950,Mickie,Blunn,Female,Desktop Support Technician,II,440496,5,21,98,07/13/2016,true
951,Addy,Scolts,Male,Registered Nurse,Jr,88372,7,72,105,09/13/2021,true
952,Harris,Keohane,Polygender,Help Desk Technician,Sr,292556,10,28,51,07/03/2010,false
953,Jannel,Cavell,Female,Internal Auditor,Sr,366138,1,42,138,08/28/2010,false
954,Darsie,Bailess,Non-binary,Senior Developer,III,460523,11,27,55,10/14/2010,false
955,Den,Vanelli,Male,Food Chemist,IV,336356,9,58,193,01/26/2000,false
956,Sayres,Courtliff,Male,Statistician I,III,105611,10,64,76,02/07/2014,false
957,Kiele,Speir,Female,GIS Technical Architect,Jr,287610,10,62,198,11/27/2010,false
958,Mary,Bucktrout,Female,Nurse,II,318961,8,28,191,05/14/2015,true
959,Amii,Jefferys,Female,Environmental Tech,II,174999,11,35,134,02/08/2012,false
960,Ramona,Inglis,Female,Dental Hygienist,IV,476277,10,32,4,06/23/2000,false
961,Norbert,Zielinski,Polygender,Data Coordiator,Sr,55313,8,24,59,07/17/2020,true
962,Renato,Kloisner,Male,Account Representative IV,IV,117283,11,45,8,08/18/2009,false
963,Levi,Howat,Male,VP Accounting,II,474431,6,46,96,01/18/2003,false
964,Derry,Hutt,Male,Biostatistician IV,Jr,419411,10,20,57,12/22/2015,false
965,Nickolai,Dunsford,Genderqueer,Computer Systems Analyst I,IV,62652,8,38,15,07/22/2016,false
966,Dana,Pilmoor,Female,Software Test Engineer I,Sr,372894,9,60,63,11/17/1999,false
967,Ludvig,Heddy,Male,Operator,IV,388893,9,48,79,05/19/2017,true
968,Nalani,Wilmott,Female,Paralegal,Jr,64262,5,29,170,02/03/2012,false
969,Jasun,Schollar,Male,Senior Sales Associate,Sr,274963,9,29,38,02/25/2000,false
970,Garvey,Haycock,Male,Marketing Assistant,II,467606,8,20,9,06/30/2018,false
971,Durward,Castellanos,Male,Paralegal,Jr,405747,4,69,108,02/10/2005,true
972,Latrina,Darracott,Female,GIS Technical Architect,Jr,96760,11,25,7,11/24/2016,false
973,Alexio,Tuison,Male,GIS Technical Architect,II,348906,8,52,60,01/27/2011,false
974,Anallise,Dubock,Female,Software Consultant,III,396594,11,68,181,10/18/2011,true
975,Carling,Osler,Male,Analog Circuit Design manager,IV,96105,5,36,126,09/06/2007,true
976,Albie,St. Hill,Male,Programmer Analyst III,IV,492920,10,71,177,07/17/2013,false
977,Alissa,Bartlosz,Female,Pharmacist,Jr,404552,3,67,0,07/03/2012,false
978,Joanna,Helian,Genderqueer,VP Quality Control,Sr,421172,9,24,92,04/21/2017,false
979,Levy,Gaize,Male,Design Engineer,II,223084,0,48,110,10/29/2022,true
980,Renault,Walkingshaw,Male,Programmer II,IV,388284,9,47,191,04/04/2016,false
981,Vance,Barth,Male,Product Engineer,III,199198,3,63,16,08/05/2012,false
982,Zelda,Skatcher,Female,Payment Adjustment Coordinator,Jr,218581,9,38,115,06/23/2013,false
983,Ferdy,Skippen,Male,Editor,IV,330970,8,38,22,03/30/2004,false
984,Melody,Heiss,Female,Operator,IV,190198,8,36,164,08/01/2005,false
985,Annabal,Middlehurst,Female,Design Engineer,II,118132,1,45,55,08/11/2018,true
986,Sonja,Scaysbrook,Female,Web Developer II,III,53476,10,47,59,09/07/2015,false
987,Karie,MacSkeaghan,Female,GIS Technical Architect,Sr,150727,4,56,11,11/11/2000,true
988,Aube,Robelin,Male,Mechanical Systems Engineer,Sr,438846,5,57,193,08/10/2022,true
989,Sutherlan,Yeardley,Polygender,Junior Executive,IV,79033,6,45,8,05/21/2012,true
990,Ber,Aspenlon,Male,Graphic Designer,Jr,279237,5,47,46,08/08/2013,false
991,Ray,Prugel,Female,Health Coach I,II,284662,10,26,144,04/28/2018,true
992,Vito,Clemmitt,Male,Librarian,II,368155,1,25,0,01/29/2006,false
993,Virgie,Brandsma,Female,Paralegal,Jr,244683,4,22,85,08/09/2002,true
994,Zachery,Nend,Genderfluid,Software Consultant,Jr,164385,3,52,162,12/25/2016,true
995,Charmine,Cattermoul,Female,Computer Systems Analyst III,IV,274763,7,60,178,11/17/2006,false
996,Faber,Kelling,Male,Software Engineer I,III,133832,2,50,139,04/09/2014,false
997,Ross,Duck,Male,Technical Writer,III,220276,11,68,15,09/19/2018,false
998,Zola,Laffan,Female,VP Accounting,II,338111,0,30,185,10/31/2020,false
999,Ryun,Morales,Male,Physical Therapy Assistant,Sr,315487,4,56,0,09/28/2004,true
1000,Cobby,Inkin,Male,Information Systems Manager,II,493947,7,37,137,11/18/1999,false
